key,status,file,title,doi,source_url,pdf_url
panBuildingEnergySimulation2023,download_error: HTTP Error 403: Forbidden,,"Building Energy Simulation and Its Application for Building Performance Optimization: {{A}} Review of Methods, Tools, and Case Studies",10.1016/j.adapen.2023.100135,https://linkinghub.elsevier.com/retrieve/pii/S2666792423000148,
patraReviewImpactDaylighting2024a,descargado,patraReviewImpactDaylighting2024a.pdf,Review on {{Impact}} of Daylighting Methods on Energy Efficiency in Residence of Different Climate in {{India}},10.1051/e3sconf/202459601034,https://www.e3s-conferences.org/10.1051/e3sconf/202459601034,https://www.e3s-conferences.org/10.1051/e3sconf/202459601034/pdf
ranaEvaluationPassiveDesign2021,sin_pdf_abierto_detectado,,Evaluation of Passive Design Strategies to Achieve {{NZEB}} in the Corporate Facilities: The Context of {{Bangladeshi}} Subtropical Monsoon Climate,10.1108/IJBPA-05-2020-0037,http://www.emerald.com/ijbpa/article/39/4/619-654/111111,
ribeiroLEEDCertificationBuilding,sin_pdf_abierto_detectado,,{{LEED Certification}} in {{Building Energy Efficiency}}: {{A Review}} of {{Its Performance Efficacy}} and {{Global Applicability}},,,
santiGreenSystemsIntegrated2020,descargado,santiGreenSystemsIntegrated2020.pdf,Green {{Systems Integrated}} to the {{Building Envelope}}: {{Strategies}} and {{Technical Solution}} for the {{Italian Case}},10.3390/su12114615,https://www.mdpi.com/2071-1050/12/11/4615,https://mdpi-res.com/d_attachment/sustainability/sustainability-12-04615/article_deploy/sustainability-12-04615.pdf
shanGreenBuildingRating2018,download_error: HTTP Error 403: Forbidden,,Green Building Rating Systems: Global Reviews of Practices and Research Efforts,10.1016/j.scs.2018.02.034,https://www.sciencedirect.com/science/article/pii/S2210670717314567,
suzerComparativeReviewEnvironmental2015,download_error: HTTP Error 403: Forbidden,,A Comparative Review of Environmental Concern Prioritization: {{LEED}} vs Other Major Certification Systems,10.1016/j.jenvman.2015.02.029,https://www.sciencedirect.com/science/article/pii/S0301479715000973,
torres-barriusoSustainableBuildingStandards2025,descargado,torres-barriusoSustainableBuildingStandards2025.pdf,Sustainable {{Building Standards}} in the {{Galapagos Islands}}: {{Definition},10.3390/buildings15010122,https://www.mdpi.com/2075-5309/15/1/122,https://mdpi-res.com/d_attachment/buildings/buildings-15-00122/article_deploy/buildings-15-00122.pdf
tsirovasilisComparativeAssessmentLEED2025,descargado,tsirovasilisComparativeAssessmentLEED2025.pdf,Comparative Assessment of {{LEED},10.3390/en18164322,https://www.mdpi.com/1996-1073/18/16/4322,https://mdpi-res.com/d_attachment/energies/energies-18-04322/article_deploy/energies-18-04322.pdf
vazBuildingInformationModeling2024,descargado,vazBuildingInformationModeling2024.pdf,Building {{Information Modeling}}/{{Building Energy Simulation Integration Based}} on {{Quantitative}} and {{Interpretative Interoperability Analysis}},10.3390/infrastructures9050084,https://www.mdpi.com/2412-3811/9/5/84,https://mdpi-res.com/d_attachment/infrastructures/infrastructures-09-00084/article_deploy/infrastructures-09-00084.pdf
worldcommissiononenvironmentanddevelopmentOurCommonFuture1987,not_pdf_response,,Our {{Common Future}},,https://sustainabledevelopment.un.org/content/documents/5987our-common-future.pdf,
wuRecycledMaterialsConstruction2025,descargado,wuRecycledMaterialsConstruction2025.pdf,Recycled {{Materials}} in {{Construction}}: {{Trends},10.3390/su17062636,https://www.mdpi.com/2071-1050/17/6/2636,https://mdpi-res.com/d_attachment/sustainability/sustainability-17-02636/article_deploy/sustainability-17-02636.pdf
zajemskaReviewCurrentTrends2025,descargado,zajemskaReviewCurrentTrends2025.pdf,Review of {{Current Trends}} in {{Sustainable Construction}},10.3390/en18102559,https://www.mdpi.com/1996-1073/18/10/2559,https://mdpi-res.com/d_attachment/energies/energies-18-02559/article_deploy/energies-18-02559.pdf
zhaoCaseStudyCalculation2025,descargado,zhaoCaseStudyCalculation2025.pdf,A Case Study on the Calculation of Carbon Emissions over the Entire Life Cycle of Commercial Office Buildings Based on Measured Data,10.1186/s42162-025-00527-3,https://energyinformatics.springeropen.com/articles/10.1186/s42162-025-00527-3,https://link.springer.com/content/pdf/10.1186/s42162-025-00527-3.pdf
zoureImplementingNaturalVentilation2023a,download_error: HTTP Error 403: Forbidden,,Implementing Natural Ventilation and Daylighting Strategies for Thermal Comfort and Energy Efficiency in Office Buildings in {{Burkina Faso}},10.1016/j.egyr.2023.02.017,https://linkinghub.elsevier.com/retrieve/pii/S2352484723001580,
