caso,enfriamiento_kWh,datacenter_kWh,sin_datacenter_kWh,equipos_kWh,iluminacion_kWh,electricidad_enfriamiento_estimacion_kWh,ahorro_total_pct,ahorro_sin_dc_pct,electricidad_total_estimacion_kWh,area_referencia_m2,EUI_estimado_kWh_m2_anio
CB,84759.41085315238,40196.110781700525,44563.30007145186,39307.572835928746,13895.38730499782,45258.70856678296,0.0,0.0,98461.66870770951,281.6308,349.6125732970595
C1,83103.75885807346,40147.083162377625,42956.67569569584,39307.572835928746,13895.38730499782,44413.65380444927,1.953354770182836,3.605263463836828,97616.61394537582,281.6308,346.6119967893278
C2,84328.84872259309,40172.0655423324,44156.78318026069,39307.572835928746,13895.38730499782,45022.614552210965,0.5079815046204805,0.9122234900453274,98225.57469313753,281.6308,348.7742629468706
C3 r01,82748.9599130337,40125.26747621008,42623.69243682362,39307.572835928746,13895.38730499782,44217.25943300349,2.3719501113591224,4.352477557807233,97420.21957393005,281.6308,345.91464986759274
C3 r02,65767.88169795844,39625.65457214868,26142.22712580976,39307.572835928746,2258.977595096771,35553.698416370724,22.406395896376864,41.33686893947741,77120.24884739624,281.6308,273.8345693986462
