zona,mes,C3,CB,diferencia_kWh,variacion_pct
PLANTABAJA:PBXOFX02,12,210.8016575764402,223.5343658882081,-12.732708311767908,-5.6960853697706915
PLANTABAJA:PBXOFX03,1,363.5675479002338,362.5524394702299,1.0151084300039201,0.27998940828731433
PLANTABAJA:PBXOFX03,2,381.86501174840066,373.6596297489529,8.205381999447752,2.195950899207555
PLANTABAJA:PBXOFX03,3,426.73724005477663,422.51342680317214,4.223813251604497,0.9996873433260525
PLANTABAJA:PBXOFX03,4,394.48351287491306,391.0099671063685,3.473545768544568,0.8883522315940456
PLANTABAJA:PBXOFX03,5,355.42104189614,352.78835112449485,2.632690771645173,0.7462521830025298
PLANTABAJA:PBXOFX03,6,211.27505381465045,218.07519192334598,-6.800138108695535,-3.118253868640777
PLANTABAJA:PBXOFX03,7,149.8504772073311,157.01900146864674,-7.168524261315639,-4.565386478239092
PLANTABAJA:PBXOFX03,8,93.11483977361527,110.36920742354883,-17.254367649933556,-15.633316622197736
PLANTABAJA:PBXOFX03,9,64.4698039716804,91.79998513285528,-27.330181161174878,-29.77144399492216
PLANTABAJA:PBXOFX03,10,123.16183392613218,144.32360560380386,-21.16177167767168,-14.662723806779626
PLANTABAJA:PBXOFX03,11,149.48263858168468,158.05580643084272,-8.57316784915804,-5.42413976604474
PLANTABAJA:PBXOFX03,12,270.98638623500483,280.0353740014145,-9.048987766409653,-3.231373107300346
PLANTABAJA:PBXREX01,1,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,2,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,3,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,4,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,5,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,6,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,7,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,8,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,9,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,10,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,11,0.0,0.0,0.0,
PLANTABAJA:PBXREX01,12,0.0,0.0,0.0,
PLANTABAJA:PBXSEX01,1,1530.1031150386261,1544.2292827518927,-14.126167713266568,-0.9147713925028699
PLANTABAJA:PBXSEX01,2,1968.5893848595363,1982.4127419981155,-13.82335713857924,-0.697299651365557
PLANTABAJA:PBXSEX01,3,2253.9717488168467,2268.4093732402557,-14.437624423409034,-0.6364646784537815
PLANTABAJA:PBXSEX01,4,2168.900622308826,2178.7603712099985,-9.85974890117268,-0.45253939035512014
PLANTABAJA:PBXSEX01,5,1890.7092390278224,1900.6931454231349,-9.983906395312488,-0.525277129522654
PLANTABAJA:PBXSEX01,6,677.0348001845323,683.668328570629,-6.633528386096714,-0.9702845822865132
PLANTABAJA:PBXSEX01,7,259.843275560406,263.38560210947594,-3.5423265490699123,-1.344920345189388
PLANTABAJA:PBXSEX01,8,89.39239828111023,91.21729395199121,-1.8248956708809771,-2.000602727637856
PLANTABAJA:PBXSEX01,9,24.38312519624984,25.37610227122002,-0.992977074970181,-3.9130401680968676
PLANTABAJA:PBXSEX01,10,106.42301125756886,109.56464533247592,-3.14163407490706,-2.8673794045275405
PLANTABAJA:PBXSEX01,11,114.30317391653267,118.1929819202716,-3.889808003738935,-3.291065121246241
PLANTABAJA:PBXSEX01,12,633.919159913514,644.8837758439006,-10.964615930386572,-1.7002468260328272
PRIMERAPLANTAALTA:1PAXBAX01,1,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,2,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,3,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,4,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,5,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,6,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,7,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,8,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,9,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,10,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,11,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX01,12,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,1,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,2,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,3,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,4,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,5,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,6,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,7,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,8,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,9,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,10,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,11,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,12,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXDC,1,3532.6475530865555,3542.9218694389847,-10.274316352429196,-0.289995566683386
PRIMERAPLANTAALTA:1PAXDC,2,3324.2123135454403,3333.941875290361,-9.72956174492083,-0.29183357445526725
PRIMERAPLANTAALTA:1PAXDC,3,3771.410128172798,3788.3477608805247,-16.937632707726607,-0.4470981487663054
PRIMERAPLANTAALTA:1PAXDC,4,3540.34280176756,3548.214864640942,-7.872062873381765,-0.2218598132776373
PRIMERAPLANTAALTA:1PAXDC,5,3605.4954406578318,3611.001172663994,-5.505732006162361,-0.15247106669036448
PRIMERAPLANTAALTA:1PAXDC,6,3279.1826197477935,3278.9375411560654,0.2450785917280882,0.007474329371997738
PRIMERAPLANTAALTA:1PAXDC,7,3242.2487726441113,3242.5983980866226,-0.34962544251129657,-0.010782261618262746
PRIMERAPLANTAALTA:1PAXDC,8,3189.7531429250275,3195.302378433495,-5.549235508467518,-0.1736685562506308
PRIMERAPLANTAALTA:1PAXDC,9,3065.101601299854,3069.214298670969,-4.112697371115246,-0.133998377789916
PRIMERAPLANTAALTA:1PAXDC,10,3144.7464035253656,3149.3816620116054,-4.635258486239763,-0.14717995415262194
PRIMERAPLANTAALTA:1PAXDC,11,3076.4206086112445,3079.840406835939,-3.4197982246946594,-0.11103816344198089
PRIMERAPLANTAALTA:1PAXDC,12,3353.7060902263875,3356.408553590999,-2.7024633646115035,-0.08051652000827361
PRIMERAPLANTAALTA:1PAXES,1,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,2,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,3,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,4,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,5,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,6,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,7,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,8,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,9,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,10,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,11,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXES,12,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXOFX01,1,544.5742490630229,531.9592690398368,12.614980023186035,2.3714184068933553
PRIMERAPLANTAALTA:1PAXOFX01,2,600.2811809639358,577.9937205767525,22.287460387183273,3.8560038965377816
PRIMERAPLANTAALTA:1PAXOFX01,3,706.1617819643984,677.0642342692086,29.09754769518986,4.29760519348602
PRIMERAPLANTAALTA:1PAXOFX01,4,572.1329091526783,554.2261032316087,17.906805921069576,3.2309567912189077
PRIMERAPLANTAALTA:1PAXOFX01,5,492.28750864126124,486.1354015614362,6.1521070798250435,1.2655130772342158
PRIMERAPLANTAALTA:1PAXOFX01,6,234.3247739905541,292.3627646236433,-58.03799063308918,-19.851361957053975
