caso,zona,mes,variable,valor,horas
CB,PLANTABAJA:PBXSEX01,6,temperatura_operativa_C,26.049832299627592,720
CB,PLANTABAJA:PBXSEX01,7,temperatura_operativa_C,24.856372502484867,744
CB,PLANTABAJA:PBXSEX01,8,temperatura_operativa_C,24.605849304108897,744
CB,PLANTABAJA:PBXSEX01,9,temperatura_operativa_C,24.34834759384439,720
CB,PLANTABAJA:PBXSEX01,10,temperatura_operativa_C,24.601738826303897,744
CB,PLANTABAJA:PBXSEX01,11,temperatura_operativa_C,24.723581536653356,720
CB,PLANTABAJA:PBXSEX01,12,temperatura_operativa_C,25.79362444691943,744
CB,PLANTABAJA:PBXOFX03,1,temperatura_operativa_C,27.33193529469147,744
CB,PLANTABAJA:PBXOFX03,2,temperatura_operativa_C,28.07271074397082,672
CB,PLANTABAJA:PBXOFX03,3,temperatura_operativa_C,28.631640417677342,744
CB,PLANTABAJA:PBXOFX03,4,temperatura_operativa_C,27.624934593899503,720
CB,PLANTABAJA:PBXOFX03,5,temperatura_operativa_C,27.27211748772914,744
CB,PLANTABAJA:PBXOFX03,6,temperatura_operativa_C,26.040646601026562,720
CB,PLANTABAJA:PBXOFX03,7,temperatura_operativa_C,24.948088705742343,744
CB,PLANTABAJA:PBXOFX03,8,temperatura_operativa_C,24.829477293958398,744
CB,PLANTABAJA:PBXOFX03,9,temperatura_operativa_C,24.731074428138886,720
CB,PLANTABAJA:PBXOFX03,10,temperatura_operativa_C,25.119912546385915,744
CB,PLANTABAJA:PBXOFX03,11,temperatura_operativa_C,25.29783838571392,720
CB,PLANTABAJA:PBXOFX03,12,temperatura_operativa_C,26.3727464422024,744
CB,PLANTABAJA:PBXOFX02,1,temperatura_operativa_C,27.36728540533049,744
CB,PLANTABAJA:PBXOFX02,2,temperatura_operativa_C,28.080813935586733,672
CB,PLANTABAJA:PBXOFX02,3,temperatura_operativa_C,28.635846126746358,744
CB,PLANTABAJA:PBXOFX02,4,temperatura_operativa_C,27.690623531065775,720
CB,PLANTABAJA:PBXOFX02,5,temperatura_operativa_C,27.39530571501815,744
CB,PLANTABAJA:PBXOFX02,6,temperatura_operativa_C,26.20923467096616,720
CB,PLANTABAJA:PBXOFX02,7,temperatura_operativa_C,25.14689274749914,744
CB,PLANTABAJA:PBXOFX02,8,temperatura_operativa_C,25.049274310405316,744
CB,PLANTABAJA:PBXOFX02,9,temperatura_operativa_C,24.928494422782084,720
CB,PLANTABAJA:PBXOFX02,10,temperatura_operativa_C,25.272424515195556,744
CB,PLANTABAJA:PBXOFX02,11,temperatura_operativa_C,25.465250424905825,720
CB,PLANTABAJA:PBXOFX02,12,temperatura_operativa_C,26.485408949662474,744
CB,PLANTABAJA:PBXOFX01,1,temperatura_operativa_C,27.275802643269756,744
