"Date/Time";"Glazing";"Walls";"Ceilings (int)";"Floors (int)";"Ground Floors";"Partitions (int)";"Roofs";"Floors (ext)";"Internal Natural vent.";"Sensible Cooling";"Mech Vent + Nat Vent + Infiltration";"External Air";"External Vent.";"Total Cooling";"General Lighting";"Miscellaneous";"Catering";"Computer + Equip";"Occupancy";"Solar Gains Interior Windows";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Room Electricity";"Lighting";"Cooling (Electricity)";"Outside Dry-Bulb Temperature"
"";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"ac/h";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"°C";"°C";"°C";"kWh";"kWh";"kWh";"°C"
"14/01/2025";"-15,62421";"-16,18834";"-0,246638";"-1,48495";"-21,72258";"-7,216014";"-5,520852";"-0,516822";"-1,664168";"-180,45";"1,486822";"-0,424711";"-0,508119";"-277,0663";"44,19941";"95,23257";"0,877635";"13,83909";"19,44999";"5,544855";"72,19395";"0,4768454";"-172,6105";"26,13713";"27,12912";"26,63312";"109,9493";"44,19941";"147,1911";"25,54826"
"15/01/2025";"-27,26945";"-5,269776";"1,497015";"-3,810057";"-35,91136";"-19,80389";"-5,410106";"-0,791792";"0,774489";"-212,4798";"1,27725";"-0,857608";"-2,223357";"-327,0583";"44,19941";"95,23257";"0,877635";"13,83909";"19,06017";"9,770196";"127,575";"0,5174726";"-203,6751";"26,78079";"28,18328";"27,48203";"109,9493";"44,19941";"173,2898";"25,6743"
"16/01/2025";"-57,58841";"-48,83678";"5,460935";"1,051606";"-27,24194";"10,93817";"0,156014";"-1,69243";"-3,073254";"-165,9217";"1,298183";"-1,122901";"-4,234921";"-272,6339";"44,19941";"95,23257";"0,877635";"13,83909";"19,3269";"9,557252";"124,08";"0";"-173,4382";"26,53071";"27,57627";"27,05349";"109,9493";"44,19941";"144,2991";"24,35556"
"17/01/2025";"-46,16183";"-59,56205";"2,691955";"-0,653935";"-23,64561";"5,961439";"-3,644315";"-1,431781";"-2,493288";"-167,1937";"1,334138";"-0,340258";"-0,946023";"-267,4761";"44,19941";"95,23257";"0,877635";"13,83909";"19,43806";"9,448965";"121,1097";"0,3552302";"-165,2738";"26,08192";"26,92387";"26,5029";"109,9493";"44,19941";"141,6926";"25,04757"
"18/01/2025";"-23,31395";"-18,86766";"0,034768";"-4,37241";"-31,89038";"-16,83334";"-7,975568";"-0,668841";"-1,379277";"-192,2097";"1,249366";"-0,379411";"-1,059636";"-309,9043";"43,48851";"95,17348";"0,877635";"13,83909";"19,03971";"9,383897";"122,98";"0,1956898";"-187,9771";"26,50875";"27,69057";"27,09966";"109,8902";"43,48851";"163,8713";"25,48889"
"19/01/2025";"-35,49551";"-8,483775";"4,407569";"-0,802492";"-26,31388";"-0,013626";"-2,102215";"-1,054339";"0,689798";"-102,2878";"0,2868221";"-0,851454";"-2,834265";"-110,6446";"1,883448";"94,24216";"0";"0";"0,553519";"5,869529";"74,08173";"0,00524507";"-102,5165";"27,55368";"28,00319";"27,77843";"94,24216";"1,883448";"61,46921";"25,23611"
"20/01/2025";"-43,22135";"-42,56583";"3,572376";"-1,249001";"-27,31203";"2,673476";"-2,26549";"-1,367439";"-1,92645";"-187,1214";"1,208559";"0,025263";"0,604269";"-304,852";"44,19941";"95,23257";"0,877635";"13,83909";"19,2777";"8,811297";"119,1889";"0,3880546";"-180,2237";"26,51188";"27,53196";"27,02192";"109,9493";"44,19941";"161,6097";"25,78403"
"21/01/2025";"-40,07312";"-37,01916";"2,869272";"-1,889404";"-28,64468";"-2,068091";"-4,621766";"-1,085157";"-0,036424";"-194,03";"1,056986";"-0,077779";"-0,447546";"-292,4273";"44,19941";"95,23257";"0,877635";"13,83909";"19,16164";"9,366793";"123,1731";"0,540126";"-184,7941";"26,47848";"27,5568";"27,01764";"109,9493";"44,19941";"155,261";"26,04097"
"22/01/2025";"-20,4535";"-9,671728";"1,296474";"-4,582528";"-33,96175";"-15,03766";"-6,646968";"-0,450732";"1,57452";"-211,0965";"1,175479";"-0,40541";"-1,192421";"-316,3609";"44,19941";"95,23257";"0,877635";"13,83909";"19,03957";"8,892757";"116,7309";"0,683786";"-200,069";"26,85336";"28,16748";"27,51042";"109,9493";"44,19941";"167,9247";"26,20694"
"23/01/2025";"-29,36688";"2,406037";"4,033898";"-3,30759";"-40,02792";"-11,4911";"-3,889682";"-0,695236";"-3,461467";"-235,4074";"1,693233";"-0,003624";"1,948635";"-372,6458";"44,19941";"95,23257";"0,877635";"13,83909";"18,92547";"9,916057";"129,7524";"0,8805619";"-221,5297";"27,27008";"28,91602";"28,09305";"109,9493";"44,19941";"197,8048";"26,43576"
