zona,CB,C1,diferencia_kWh,variacion_pct
PLANTABAJA:ASCENSOR,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,0.0,0.0,0.0,
PLANTABAJA:PBXOFX01,2800.598250623556,2639.707859621608,-160.89039100194805,-5.744857941196159
PLANTABAJA:PBXOFX02,2371.538345496383,2273.688456585392,-97.84988891099101,-4.126009140725499
PLANTABAJA:PBXOFX03,3062.201986237676,2984.558708954913,-77.64327728276294,-2.5355374214931548
PLANTABAJA:PBXREX01,0.0,0.0,0.0,
PLANTABAJA:PBXSEX01,11810.793644623362,11730.710215367475,-80.08342925588659,-0.6780529036873236
PRIMERAPLANTAALTA:1PAXBAX01,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXDC,40196.1107817005,40147.08316237757,-49.027619322936516,-0.12197105234682706
PRIMERAPLANTAALTA:1PAXES,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXOFX01,4447.6548356289,3948.9224992657123,-498.7323363631881,-11.213377719151785
PRIMERAPLANTAALTA:1PAXOFX02,2967.616597199921,2837.1831225265983,-130.43347467332296,-4.395226620460095
PRIMERAPLANTAALTA:1PAXOFX03,4500.5263326680715,4059.695977620773,-440.8303550472983,-9.79508445151033
PRIMERAPLANTAALTA:1PAXPAS,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXSR,3053.3058098058277,3014.990212223119,-38.315597582708506,-1.2548889619787267
PRIMERAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXCAF,2642.023262788761,2638.4490241839153,-3.5742386048455046,-0.13528414587359663
SEGUNDAPLANTAALTA:2PAXES,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXSUM,6907.04100637939,6828.769619346302,-78.2713870330881,-1.133211558477735
SEGUNDAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
