zona,CB,C2,diferencia_kWh,variacion_pct
PLANTABAJA:ASCENSOR,0.0,0.0,0.0,
PLANTABAJA:PBXBAX01,0.0,0.0,0.0,
PLANTABAJA:PBXBOX01,0.0,0.0,0.0,
PLANTABAJA:PBXESX01,0.0,0.0,0.0,
PLANTABAJA:PBXOFX01,2800.598250623556,2800.4888229865146,-0.1094276370413354,-0.003907295058010239
PLANTABAJA:PBXOFX02,2371.538345496383,2364.9401273822305,-6.598218114152587,-0.2782252341263124
PLANTABAJA:PBXOFX03,3062.201986237676,3054.9273711646097,-7.274615073066343,-0.23756156862807665
PLANTABAJA:PBXREX01,0.0,0.0,0.0,
PLANTABAJA:PBXSEX01,11810.793644623362,11759.149251549423,-51.64439307393877,-0.4372643755184809
PRIMERAPLANTAALTA:1PAXBAX01,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXBAX02,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXDC,40196.1107817005,40172.06554233242,-24.045239368082548,-0.05981981564999884
PRIMERAPLANTAALTA:1PAXES,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXOFX01,4447.6548356289,4435.345222162482,-12.309613466418341,-0.27676638411347754
PRIMERAPLANTAALTA:1PAXOFX02,2967.616597199921,2929.027272774786,-38.589324425135146,-1.3003473717442442
PRIMERAPLANTAALTA:1PAXOFX03,4500.5263326680715,4457.437749703022,-43.08858296504968,-0.9574120842773792
PRIMERAPLANTAALTA:1PAXPAS,0.0,0.0,0.0,
PRIMERAPLANTAALTA:1PAXSR,3053.3058098058277,3015.177642753656,-38.12816705217165,-1.2487503521501626
PRIMERAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXCAF,2642.023262788761,2582.579717582637,-59.44354520612387,-2.249925125313955
SEGUNDAPLANTAALTA:2PAXES,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXPAS,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXSUM,6907.04100637939,6757.7100022012855,-149.3310041781042,-2.162011258369265
SEGUNDAPLANTAALTA:ASCENSOR,0.0,0.0,0.0,
