caso,zona,piso_m2,ventana_exterior_m2,apertura_max_modelo_m2,apertura_max_piso_pct,ventanas_AFN
CB,PB-OF-03,13.4637,4.080400000009065,0.20402000000045326,1.515333823543701,1
CB,PB-OF-02,9.8748,4.08040000000907,0.2040200000004535,2.0660671608584833,1
CB,PB-OF-01,12.7159,4.080400000009066,0.20402000000045328,1.604447974586567,1
CB,1PA-OF-02,10.5275,9.025010786310144,9.025010786310145e-08,8.572795807466298e-07,1
CB,1PA-OF-03,18.6603,6.929265760977433,6.929265760977433e-08,3.7133731831628824e-07,2
CB,1PA-OF-01,15.1955,10.986086984382352,1.0986086984382351e-07,7.229829215479815e-07,2
C1,PB-OF-03,13.4637,4.080400000009065,0.816080000001813,6.061335294174804,1
C1,PB-OF-02,9.8748,4.08040000000907,0.816080000001814,8.264268643433933,1
C1,PB-OF-01,12.7159,4.080400000009066,0.8160800000018131,6.417791898346268,1
C1,1PA-OF-02,10.5275,9.025010786310144,1.805002157262029,17.145591614932595,1
C1,1PA-OF-03,18.6603,6.929265760977433,1.3858531521954867,7.426746366325766,2
C1,1PA-OF-01,15.1955,10.986086984382352,2.1972173968764706,14.45965843095963,2
C2,PB-OF-03,13.4637,4.080400000009065,0.20402000000045326,1.515333823543701,1
C2,PB-OF-02,9.8748,4.08040000000907,0.2040200000004535,2.0660671608584833,1
C2,PB-OF-01,12.7159,4.080400000009066,0.20402000000045328,1.604447974586567,1
C2,1PA-OF-02,10.5275,9.025010786310144,9.025010786310145e-08,8.572795807466298e-07,1
C2,1PA-OF-03,18.6603,6.929265760977433,6.929265760977433e-08,3.7133731831628824e-07,2
C2,1PA-OF-01,15.1955,10.986086984382352,1.0986086984382351e-07,7.229829215479815e-07,2
C3 r01,PB-OF-03,13.4637,4.080400000009065,0.816080000001813,6.061335294174804,1
C3 r01,PB-OF-02,9.8748,4.08040000000907,0.816080000001814,8.264268643433933,1
C3 r01,PB-OF-01,12.7159,4.080400000009066,0.8160800000018131,6.417791898346268,1
C3 r01,1PA-OF-02,10.5275,9.025010786310144,1.805002157262029,17.145591614932595,1
C3 r01,1PA-OF-03,18.6603,6.929265760977433,1.3858531521954867,7.426746366325766,2
C3 r01,1PA-OF-01,15.1955,10.986086984382352,2.1972173968764706,14.45965843095963,2
C3 r02,PB-OF-03,13.4637,4.080400000009065,0.816080000001813,6.061335294174804,1
C3 r02,PB-OF-02,9.8748,4.08040000000907,0.816080000001814,8.264268643433933,1
C3 r02,PB-OF-01,12.7159,4.080400000009066,0.8160800000018131,6.417791898346268,1
C3 r02,1PA-OF-02,10.5275,9.025010786310144,1.805002157262029,17.145591614932595,1
C3 r02,1PA-OF-03,18.6603,6.929265760977433,1.3858531521954867,7.426746366325766,2
C3 r02,1PA-OF-01,15.1955,10.986086984382352,2.1972173968764706,14.45965843095963,2
