caso,zona,campos_people
C3 r01,PLANTABAJA:PBXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47593 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47593 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r01,PLANTABAJA:PBXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47601 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47601 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r01,PLANTABAJA:PBXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47609 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47609 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r01,PRIMERAPLANTAALTA:1PAXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 51976 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 51976 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r01,PRIMERAPLANTAALTA:1PAXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 52006 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 52006 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r01,PRIMERAPLANTAALTA:1PAXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 52019 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 52019 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r02,PLANTABAJA:PBXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47593 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47593 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r02,PLANTABAJA:PBXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47601 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47601 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r02,PLANTABAJA:PBXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 47609 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 47609 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r02,PRIMERAPLANTAALTA:1PAXOFX02,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 51976 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 51976 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r02,PRIMERAPLANTAALTA:1PAXOFX03,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 52006 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 52006 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
C3 r02,PRIMERAPLANTAALTA:1PAXOFX01,8:00 - 18:00 Mon - Sat | People/Area |  | .1 |  | .3 | AutoCalculate | Activity Schedule 52019 | .0000000382 | Yes | ZoneAveraged |  | Work efficiency | ClothingInsulationSchedule |  | Clothing Schedule 52019 | Default Air Velocity for Comfort Calculations | Fanger | AdaptiveASH55
