carga_dc_W_m2,CB_kWh_termicos,C3r02_kWh_termicos,ahorro_kWh,ahorro_pct
150,62096.59709139637,42323.57459715596,19773.02249424041,31.842360806241356
300,71841.1750918486,52413.035463496984,19428.139628351622,27.043181857079645
500,84759.41085315238,65767.88169795844,18991.529155193944,22.406395896376864
