caso,enfriamiento_total_kWh_termicos,diferencia_CB_kWh,variacion_CB_pct
CB,84759.41085315235,0.0,0.0
C1,83103.75885807339,-1655.6519950789661,-1.9533547701828906
C2,84328.84872259307,-430.56213055927947,-0.5079815046204584
C3,82748.95991303356,-2010.450940118797,-2.3719501113592565
