zona,mes,C3,CB,diferencia_kWh,variacion_pct
PRIMERAPLANTAALTA:ASCENSOR,4,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,5,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,6,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,7,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,8,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,9,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,10,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,11,0.0,0.0,0.0,
PRIMERAPLANTAALTA:ASCENSOR,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,9,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,10,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,11,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXBAX01,12,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXCAF,1,303.2330663104989,334.28759296885227,-31.05452665835338,-9.289763458629746
SEGUNDAPLANTAALTA:2PAXCAF,2,337.1842586286488,393.94816235566805,-56.763903727019226,-14.408977919224585
SEGUNDAPLANTAALTA:2PAXCAF,3,411.50605931443766,494.4098446458747,-82.90378533143706,-16.768231100013313
SEGUNDAPLANTAALTA:2PAXCAF,4,367.11192740351305,411.51162321913336,-44.399695815620305,-10.789414760218596
SEGUNDAPLANTAALTA:2PAXCAF,5,296.38564473429665,361.60672443601464,-65.221079701718,-18.03646760259811
SEGUNDAPLANTAALTA:2PAXCAF,6,135.81056104396336,160.24296175045728,-24.432400706493922,-15.247097557109525
SEGUNDAPLANTAALTA:2PAXCAF,7,86.44461945426595,88.94688678597475,-2.5022673317088078,-2.813215191814187
SEGUNDAPLANTAALTA:2PAXCAF,8,39.67088531390331,55.312689292444176,-15.641803978540864,-28.278870867841828
SEGUNDAPLANTAALTA:2PAXCAF,9,25.417176189486746,38.94296645822456,-13.525790268737815,-34.732305981999055
SEGUNDAPLANTAALTA:2PAXCAF,10,52.78840310947499,66.35879605276858,-13.57039294329359,-20.450028859026315
SEGUNDAPLANTAALTA:2PAXCAF,11,64.80085598838642,64.6422790047493,0.15857698363711847,0.2453146548646092
SEGUNDAPLANTAALTA:2PAXCAF,12,158.5707157787049,171.8127358185992,-13.2420200398943,-7.707240081361195
SEGUNDAPLANTAALTA:2PAXES,1,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,2,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,3,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,4,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,5,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,6,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,7,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,8,0.0,0.0,0.0,
SEGUNDAPLANTAALTA:2PAXES,9,0.0,0.0,0.0,
